% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Down & up						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
0.15	0.14975598	13.70199364	34869.33656	45048.50175	28.72119893	1495.126139	1021.400801
0.45	0.448944498	12.04010573	36100.24663	48731.29533	31.18862245	1492.419051	1023.625847
0.75	0.74780508	11.84427323	35896.40828	48713.68756	31.15617558	1491.708507	1023.637856
1.05	1.046634281	11.5588978	35848.65336	49028.62985	31.35002573	1490.953348	1023.841238
1.35	1.345404013	11.27352238	35800.89844	49348.52765	31.546132	1490.194941	1024.045793
1.65	1.644126249	11.14516735	35816.52344	49545.38333	31.67146338	1489.899245	1024.167221
1.95	1.942829077	11.12805176	35811.69141	49562.16799	31.68132513	1489.855771	1024.179256
2.25	2.241528451	11.11093616	35806.85938	49578.96856	31.69119326	1489.812282	1024.191294
2.55	2.540222287	11.08652306	35812.63672	49620.51437	31.71779999	1489.763185	1024.217626
2.85	2.838912715	11.09082174	35812.38086	49614.24973	31.71371571	1489.778361	1024.215053
3.15	3.13760395	11.09512043	35812.125	49607.98658	31.70963224	1489.793537	1024.212482
3.45	3.436292554	11.06311512	35802.53125	49638.71137	31.72767991	1489.707337	1024.233487
3.75	3.734974202	11.03566313	35805.9043	49681.20632	31.75459159	1489.647802	1024.260581
4.05	4.033648002	11.00821114	35809.27734	49723.76607	31.78153631	1489.588256	1024.287697
4.35	4.33231743	11.0046978	35808.00391	49726.84968	31.78319649	1489.582782	1024.290961
4.65	4.630986473	11.00425434	35805.56445	49724.07443	31.78104952	1489.583567	1024.290727
4.95	4.929655641	11.00381088	35803.125	49721.29911	31.77890255	1489.584351	1024.290492
5.25	5.228322487	10.9915514	35809.5	49747.09148	31.79568012	1489.566184	1024.307042
5.55	5.526986921	10.98989964	35806.5293	49745.2475	31.7940548	1489.563327	1024.307425
5.85	5.825651301	10.98824787	35803.55859	49743.40335	31.79242935	1489.560469	1024.307807
6.15	6.124316083	10.98657227	35796.46875	49735.86882	31.78676025	1489.552657	1024.305048
6.45	6.422981201	10.97862911	35787.15625	49733.90751	31.7843246	1489.526589	1024.305898
6.75	6.721644916	10.97438955	35792.76367	49747.56225	31.79340542	1489.527478	1024.31506
7.05	7.020306017	10.97014999	35798.37109	49761.22021	31.80248825	1489.528368	1024.324224
7.35	7.31896617	10.97072506	35794.39844	49754.9026	31.79794352	1489.529863	1024.321946
7.65	7.617626367	10.96732378	35792.07422	49756.3767	31.7984713	1489.523411	1024.324308
7.95	7.916285933	10.9639225	35789.75	49757.85108	31.79899907	1489.516958	1024.326671
8.25	8.214943892	10.96395779	35799.92969	49771.95488	31.80889311	1489.533937	1024.335719
8.55	8.51359968	10.95340824	35794.73828	49779.33947	31.81278798	1489.506264	1024.341947
8.85	8.812254546	10.9483161	35788.10742	49777.16804	31.81052963	1489.49047	1024.342437
9.15	9.110909327	10.94322395	35781.47656	49774.99599	31.80827058	1489.474673	1024.342925
9.45	9.409561271	10.92128754	35780.79297	49804.44107	31.8264995	1489.42396	1024.362285
9.75	9.70820931	10.91276455	35779.89648	49815.01276	31.83288628	1489.406427	1024.370096
10.05	10.00685513	10.90424156	35779	49825.58946	31.83927528	1489.388891	1024.377908
10.35	10.30549932	10.88455963	35760.46484	49827.09167	31.83791395	1489.322485	1024.381629
10.65	10.6041398	10.85782051	35758.08203	49860.92507	31.85867131	1489.257703	1024.403782
10.95	10.90277614	10.85343218	35760.29688	49870.11661	31.86455513	1489.254179	1024.41048
11.25	11.20141057	10.84904385	35762.51172	49879.31041	31.87044016	1489.250656	1024.417179
11.55	11.50004492	10.85184002	35756.57813	49867.14504	31.86200676	1489.255334	1024.411491
11.85	11.79867955	10.85133553	35759.65234	49872.13422	31.86536372	1489.262529	1024.415549
12.15	12.09731307	10.85083103	35762.72656	49877.12353	31.86872078	1489.269725	1024.419607
12.45	12.39594596	10.84860516	35759.42188	49875.61123	31.86725938	1489.265007	1024.420215
12.75	12.69457914	10.85047531	35756.97266	49869.59356	31.86308169	1489.271534	1024.417998
13.05	12.99321302	10.85234547	35754.52344	49863.57653	31.85890444	1489.278062	1024.415782
13.35	13.29184702	10.84666157	35749.01563	49863.80051	31.85826882	1489.262081	1024.417632
13.65	13.59048114	10.84283686	35740.09961	49856.68371	31.85264072	1489.246667	1024.415275
13.95	13.88911601	10.83901215	35731.18359	49849.5654	31.84701166	1489.231251	1024.412917
14.25	14.18774998	10.81319427	35712.625	49859.59187	31.85095721	1489.14936	1024.421819
14.55	14.48638021	10.7793293	35695.92188	49883.44188	31.86374927	1489.049509	1024.43899
14.85	14.78500567	10.75977898	35693.39063	49907.17455	31.87814371	1489.00237	1024.454929
15.15	15.08362654	10.74022865	35690.85938	49930.93318	31.89254974	1488.955216	1024.470874
15.45	15.3822442	10.73546696	35692.29688	49939.59771	31.89800437	1488.949809	1024.4773
15.75	15.68086188	10.74143791	35689.33203	49927.10718	31.88972647	1488.965976	1024.471186
16.05	15.97947983	10.738276	35690.2207	49932.76774	31.89324024	1488.963913	1024.475825
16.35	16.27809648	10.7351141	35691.10938	49938.4293	31.8967545	1488.961851	1024.480465
16.65	16.57671128	10.72270203	35686.77344	49949.71183	31.90315187	1488.930378	1024.488944
16.95	16.87532347	10.71442604	35688.71094	49963.999	31.91217417	1488.916774	1024.498752
17.25	17.17393386	10.7111783	35687.22461	49966.46191	31.91340667	1488.911645	1024.50163
17.55	17.47254348	10.70793056	35685.73828	49968.92527	31.9146393	1488.906516	1024.504508
17.85	17.77115272	10.70550919	35681.49219	49966.36794	31.91240794	1488.900142	1024.504547
18.15	18.06976159	10.70547104	35683.66406	49969.4627	31.91447319	1488.907436	1024.507521
18.45	18.36836964	10.70543289	35685.83594	49972.55746	31.91653845	1488.914729	1024.510494
18.75	18.6669784	10.70230389	35671.21484	49956.46073	31.9046145	1488.894132	1024.50311
19.05	18.96558746	10.69753933	35671.67188	49963.76857	31.90910226	1488.887533	1024.508783
19.35	19.26419515	10.69547129	35673.07617	49968.63031	31.91217757	1488.888824	1024.512892
19.65	19.5628017	10.69340324	35674.48047	49973.49262	31.91525318	1488.890114	1024.517002
19.95	19.86140769	10.68677425	35665.71094	49970.48862	31.912199	1488.867767	1024.517124
20.25	20.16001371	10.68110657	35657.94922	49967.54956	31.90930604	1488.849033	1024.517207
20.55	20.4586188	10.67154789	35654.375	49975.92915	31.91397527	1488.825577	1024.523844
20.85	20.75722204	10.67130423	35660.83594	49985.32674	31.92048733	1488.837512	1024.530315
21.15	21.05582345	10.67106056	35667.29688	49994.72445	31.92699962	1488.849446	1024.536786
21.45	21.35442395	10.66886997	35663.48828	49992.45604	31.92499975	1488.844165	1024.536965
21.75	21.65302473	10.66930866	35660.17969	49987.20332	31.92119919	1488.84607	1024.53529
22.05	21.95162602	10.66989708	35657.30859	49982.35419	31.91770309	1488.848877	1024.533827
22.35	22.25022779	10.6704855	35654.4375	49977.50522	31.91420716	1488.851684	1024.532363
22.65	22.54883017	10.66704845	35646.02734	49970.53147	31.90871908	1488.837749	1024.530041
22.95	22.84743135	10.64716148	35636.67188	49985.28689	31.91666281	1488.781444	1024.541002
23.25	23.14603058	10.64971352	35641.42578	49988.37615	31.91903609	1488.798339	1024.54377
23.55	23.44462907	10.65226555	35646.17969	49991.46497	31.92140905	1488.815233	1024.546539
23.85	23.74322678	10.64317513	35638.33203	49993.20614	31.92142003	1488.787794	1024.549468
24.15	24.04182337	10.63368797	35632.83594	49998.80445	31.9241181	1488.76218	1024.554556
24.45	24.34041913	10.63322115	35632.125	49998.4619	31.92369207	1488.764936	1024.555664
24.75	24.63901461	10.63275433	35631.41406	49998.11934	31.92326604	1488.767693	1024.556772
25.05	24.93761288	10.61660767	35586.47266	49957.69528	31.89251143	1488.677895	1024.536957
25.35	25.23620725	10.54456329	35566.25781	50030.51735	31.93526769	1488.477406	1024.583933
25.65	25.53479	10.53308105	35594.70313	50086.71085	31.97358876	1488.487675	1024.617094
25.95	25.83337163	10.52939224	35556.73047	50038.47269	31.9387994	1488.437346	1024.591992
26.25	26.13196064	10.52570343	35518.75781	49990.22452	31.90400932	1488.387013	1024.566889
26.55	26.43054279	10.41759109	35491.78906	50104.74734	31.97175109	1488.087062	1024.639392
26.85	26.72910852	10.38058472	35501.70313	50171.16507	32.01410119	1488.010644	1024.680013
27.15	27.02766806	10.36686897	35487.91797	50171.13332	32.01223743	1487.964129	1024.682242
27.45	27.32622658	10.35621691	35481.24609	50176.81358	32.01480356	1487.933956	1024.687403
27.75	27.62478366	10.34556484	35474.57422	50182.49726	32.0173702	1487.903775	1024.692563
28.05	27.92333852	10.3316288	35471.00781	50197.24397	32.0259465	1487.869078	1024.702959
28.35	28.22189031	10.32742882	35479.05859	50214.6063	32.03759753	1487.873053	1024.714107
28.65	28.52044077	10.34465218	35494.10547	50211.42278	32.03737589	1487.939542	1024.712387
28.95	28.81899205	10.3404541	35483.46289	50202.33015	32.03027586	1487.920804	1024.708925
29.25	29.1175444	10.33625603	35472.82031	50193.23536	32.02317453	1487.902062	1024.705462
29.55	29.41609561	10.31054688	35457.97656	50208.76155	32.03081907	1487.823943	1024.717117
29.85	29.71464372	10.29909515	35456.62891	50223.14135	32.03943949	1487.798187	1024.727126
30.15	30.01318963	10.29808044	35460.88281	50230.6108	32.04447732	1487.805581	1024.732583
30.33330947	30.19560994	10.31080627	35476.71094	50234.92053	32.04905818	1487.859865	1024.734839
30.33330947	30.19477891	10.30970192	35472.36719	50230.34075	32.04567293	1487.851794	1024.732387
30.15	30.01235837	10.29808044	35460.88281	50230.6108	32.04447732	1487.805581	1024.732583
29.85	29.71381023	10.32966246	35470.46001	50199.26251	32.02636274	1487.892122	1024.711781
29.55	29.41525991	10.32426721	35473.28688	50210.93101	32.0340831	1487.877174	1024.717346
29.25	29.11671032	10.33142608	35481.38271	50212.21423	32.03602044	1487.900292	1024.716286
28.95	28.81815833	10.3430592	35475.57108	50187.46521	32.02006602	1487.917782	1024.70053
28.65	28.51960465	10.34032426	35479.02935	50196.24196	32.02607195	1487.91031	1024.704311
28.35	28.22104875	10.38766428	35507.6685	50169.55656	32.01320591	1488.05961	1024.68492
28.05	27.92248748	10.40991247	35510.76491	50142.40707	31.99685751	1488.114619	1024.667054
27.75	27.6239239	10.38329601	35485.23452	50144.04891	31.99483401	1488.011826	1024.668625
27.45	27.32536147	10.38094636	35491.9494	50156.86839	32.00375595	1488.009275	1024.674613
27.15	27.0267989	10.38773826	35491.54443	50146.66968	31.99750101	1488.021118	1024.66723
26.85	26.72823591	10.38802719	35498.78125	50156.48521	32.00462293	1488.025847	1024.671369
26.55	26.42967277	10.3954143	35501.28353	50149.55218	32.00075626	1488.042713	1024.665745
26.25	26.13110841	10.3892765	35492.25781	50145.4979	31.99724498	1488.011523	1024.662688
25.95	25.83254189	10.44383219	35538.08523	50132.96114	31.99526302	1488.199648	1024.650533
25.65	25.53396544	10.55544275	35589.60723	50048.04395	31.94890022	1488.537682	1024.59405
25.35	25.23537915	10.56907463	35591.55469	50031.60056	31.93902806	1488.569478	1024.582672
25.05	24.93679042	10.55249027	35567.5451	50021.17269	31.92973585	1488.494093	1024.576911
24.75	24.6382022	10.55253506	35580.64063	50039.52681	31.94288504	1488.505221	1024.585783
24.45	24.33961414	10.55877378	35578.6222	50027.90932	31.93553414	1488.513674	1024.577633
24.15	24.04102582	10.5403429	35567.71676	50038.51097	31.94092825	1488.44944	1024.583622
23.85	23.74244013	10.52785015	35570.61719	50060.18804	31.95489923	1488.416773	1024.595273
23.55	23.44385437	10.54146767	35571.03125	50041.59027	31.9435035	1488.446704	1024.582715
23.25	23.1452652	10.5500927	35567.69922	50024.76298	31.93275045	1488.459571	1024.571509
22.95	22.84667438	10.56793213	35588.28516	50028.61149	31.93778331	1488.52442	1024.57102
22.65	22.54808038	10.61124353	35609.5218	49997.58259	31.92116618	1488.653925	1024.549309
22.35	22.24948008	10.64282894	35617.53125	49964.51223	31.90165495	1488.738003	1024.527343
22.05	21.95087501	10.66261901	35626.552	49949.43304	31.89347026	1488.793682	1024.516213
21.75	21.65226808	10.66717052	35630.56641	49948.68654	31.89361496	1488.805133	1024.514185
